English Word,Korean Word,KNN Results,Match Found
Mashup,매시업,"mashup, Mash-up, 매쉬업, 라이브러리, 매시업, OpenGraph, Mashup, Kpop, OpenSocial, Bluemix",True
hard-disk-drive,하드-디스크-드라이브,N/A,False
migration,마이그레이션,"이주, 移住, 이주자, 인구이동, 유입, 이주와, 李珠, 재정착, 인구이동은, 인구이동과",False
browser,브라우저,"브라우저, 브라우져, 웹브라우저나, 웹브라우저의, 브라우저의, 웹브라우저, 웹브라우져, 주소창, 브라우져를, 브라우저와의",True
Gray-Code,그레이-코드,N/A,False
packet,패킷,"패킷, 패킷을, 패킷은, BIT, 체크섬, 트랜시버, 전송이나, 칩의, 64KB의, 대기열",True
cache,캐시,"캐싱, 메모리, 캐시, 캐시된, 익스텐트, DLL의, 쿼리, 레지스트리나, BLOB, cache",True
DevOps,데브옵스,"데브옵스, 4차산업혁명의, 애자일, 변화관리의, ASP.Net, 트랜스포메이션, ASP.NET, CRM의, UCaaS, IT환경",True
Edge,엣지,"스노이, SK8, 클라임, 오브더, 네카, 록다운, 포지드, 웬섬, 버텀, 럼버잭",False
multitasking,멀티태스킹,"멀티태스킹, 멀티태스킹의, 멀티태스킹이, 멀티태스킹과, 멀티태스킹으로, 멀티태스킹을, 멀티태스킹에, 멀티태스킹도, 멀티테스킹, 멀티스레딩",True
byte,바이트,"bit의, 정수값, 주소지정, 64KB의, 4바이트, 16바이트, 비트, 1비트, 0x00, 1바이트",True
system-software,시스템소프트웨어,N/A,False
Social-Network-Service,소셜-네트워크-서비스,N/A,False
iPhone,아이폰,"아이폰, 아이폰6, 갤럭시폰, 6s의, 아이팟터치의, 3GS의, 아이폰5, 아이폰4S, 지원기종, 애플의",True
spyware,스파이웨어,"스파이웨어, 멀웨어, 악성앱, 스파이웨어나, 스파이웨어의, 악성코드, 스파이웨어와, 악성, 안티바이러스, 스파이웨어는",True
programming,프로그래밍,"코딩, 프로그래밍, 프로그램, 코딩과, 방송기술, 프로그래밍에, 방송제작, 드라마등, 개발언어, 소프트웨어",True
Sniffer,스니퍼,"Cat, 불여우, RAT, Slammer, EOD, 스파이웨어, GRU, 특공대, 기동타격대, 小火器",False
Amazon,아마존,"아마존, 아마존의, 아마존에서, 이베이나, 아마존을, 반스앤노블, 아마존이, 이베이와, www.amazon.com, 베스트바이",True
Java,자바,"자바, Java, 자바를, 자바의, Java나, 자바란, 자바나, Java용, 닷넷, 자바에",True
storage,스토리지,"저장, 스토리지, 보관, 냉장, 저장공간, 대용량, 창고, 저장용, 장치1, 공간",True
cracker,크래커,"통밀, 케잌, 스튜, 머핀, 모찌, 클램, 단호박과, 식빵, 덩이와, 갈은",False
Internet-Explorer,인터넷익스플로러,N/A,False
E-mail,이메일,"이메일, hotmail.com, 이-메일, e-mail., e-mail, cj.net, gmail.com, yahoo.com, 이멜, 이메일이나",True
korea.com,코리아닷컴,N/A,False
phishing,피싱,"멀웨어, 피싱, 스미싱, 랜섬웨어를, 해커들의, 금융사기, 피싱과, 해킹, 멀버타이징, 보안위협의",True
multiplexer,멀티플렉서,"멀티플렉서, PHY, MUX, QAM, 연산기, 디스크리트, GPIB, 베이스밴드, 곱셈기, 소자군",True
Beacon,비콘,"웨스트포드, 오번힐스에, 러틀랜드, 앤도버, 셸번, 리버프런트, 보셀, 맨션스, 프레도니아, 페어팩스에",False
Tomcat,톰캣,"아파치의, 아파치, 톰캣과, K-멜레온, 톰캣은, 아파치에서, 톰캣, 웹서버와, Tomcat, 톰캣을",True
Tablet,태블릿,"Tablet, 태블릿, Eee, 스마트패드, iPad2, 모바일폰, 랩탑, 태블릿PC, Chromebit, Xoom",True
plug-and-play,플러그-앤드-플레이,"멀티벤더, WiGig, 무선연결, 무선형, 기능지원, ESS의, NAS로서, QvPC, 저전력의, 커넥티비티를",False
register,레지스터,"등록, 조회하기, PIN번호, 폰번호를, 웹회원, 입력란을, 시작일과, 주소입력, 16자리, 신청란에",False
worm-virus,웜바이러스,N/A,False
proxy,프록시,"프록시, proxy, 서버, 웹, 캐싱, 웹서버의, IP나, 프락시, 차단, 후이즈",True
LANcard,랜카드,N/A,False
internet-portal-site,인터넷포털사이트,N/A,False
Pokemon,포켓몬,"던전앤드래곤, 워프레임, 몬스터헌터, 공략집, 위닝일레븐, 미니언, 오더앤카오스, 타이니팜, 건스타, 캐주얼게임",False
App-store,앱스토어,N/A,False
Sandbox,샌드박스,"Textcube.com, 오픈프레임웍스, OpenShift, 2.4.0, BigTable, 3.0.0, User-agent, MSHTML, OpenType, 주분투",False
key-board,키보드,"키보드, 키보드가, 키보드를, 키보드나, 터치패드, 랩탑, 키보드는, 기능키, 전자펜, 터치패드에",True
architecture,아키텍처,"건축, 건축과, 건축기술, 조경, 현대건축, 전통건축, 실내건축, 도시건축, 한국건축, 건축에서의",False
switching-hub,스위칭허브,N/A,False
Turing-test,튜링-테스트,N/A,False
program,프로그램,"프로그램, 프로그램의, 프로그램은, 장학지원, 프로그램과, 프로그램이, 프로그램을, 학습지원, 프로그램으로, Program",True
port,포트,"항구, 포트, port, Port, 항구와, 항구의, 항만, 부두, 환적, 포트에",True
backbone,백본,"분권화된, 백본, 축이, 완결적, 인프라다, 연합체로써, 축인, 업무간, 구조란, 3각",True
Alipay,알리페이,"모바일결제, 알리페이와, 지급결제, 간편결제, 전자결제, 카카오뱅크는, 한국카카오, 전자상거래업체, 결제수단, 소매금융",True
method,메소드,"방법, 판별법, 방법3, 기법, 추출방법, 추출법, 특이값, 정량분석법, 비모수적, 최소자승법",False
Connected-Car,커넥티드-카,N/A,False
naver,네이버,"中国, 日本, 在, く, ㄹㄹ, が, г, д, に, lv",False
semantic-web,시멘틱-웹,"ebXML, 시멘틱, Semantic, 객체기반, XML, CoAP, ASP와, ORCID, 의미기반, W3C와",False
BlackBerry,블랙베리,"윈도우폰, 아이폰, 아이패드1, 윈도우폰7, 윈도폰, 애플의, 아이폰3G, 블랙베리용, 윈도모바일, 윈도폰7",True
shareware,셰어웨어,"소프트웨어용, 소프트웨어의, 소프트웨어, 프리웨어로, 소프트웨어윈도우, 소프트웨어는, 개발자에서, 소프트웨어숨은, 소프트웨어란, 공개소스",False
impedance-matching,임피던스-매칭,"고전류, 증폭기가, 변환기의, 전송선, 증폭기로, 입력신호, 폐루프, 불평형, 증폭기와, 기지국간",False
visual-basic,비주얼-베이직,N/A,False
webhard,웹하드,N/A,False
Torrent,토렌트,"XviD, 루비아나, 토렌트다운, 토랜트, Torrent, 게임기타, μTorrent, 고화질영화, BitTorrent, 네카",True
Bootstrap,부트스트랩,"Bootstrap, Node.js, JQuery, node.js, CSS, D3.js, Node.JS, 제이쿼리, mongoDB, mvc",False
wild-card,와일드카드,"챔피언결정전은, 동부컨퍼런스, 39라운드, 남자프로농구, 드래프트의, 챔피언결정전을, 영건즈, 조성주와, 챔피언결정전의, 플레이오프",False
debug,디버그,"디버그, 디버깅을, 디버깅, 시스템콜, 컴파일과, 커맨드라인, 디버거, SSDT, 디버깅과, ASM을",True
overhead,오버헤드,"오버헤드, 비용, 입출력과, 광원, 로터의, 끊김이나, 절감된, 절감, 오버헤드는, 덕트와",True
supervisor,슈퍼바이저,"담당직원, 부서장과, 회계사무원, 인사업무, 시설장, 주임급, 근태, 행정지원, 인사팀의, 부팀장",False
unicode,유니코드,"CP949, 윤희코드, 로캘, 코드페이지, 마크다운, 유니코드, 언어용, 울트라에디트, 윈도우즈용, 스타일시트",True
netiquette,네티켓,"네티켓, 언어사용, 사이버폭력, 저자권, 유해사이트의, 예절이란, 사이버윤리, 통신언어, 사이버공간, 문장부호",True
Proxy-server,프락시-서버,N/A,False
AutoCAD,오토-캐드,"AutoCAD, 오토캐드, AutoCAD와, AutoCAD의, AutoCAD를, 인벤터, BIM, 넷빈즈, Revit, 3.2의",False
subnet,서브넷,"VLSM, CIDR, 라우터에서, 서브넷의, VPC, 서브넷, 서브넷을, 192.168.0.0, 서브넷과, 192.168.1.0",True
Auction,옥션,"경매, 제1전시장, 장기대여, 나프플리오, 경매는, 경매와, 국립사적지, auction, 코인에스, 펀드평가사",False
digital-forensics,디지털-포렌식,N/A,False
bundle,번들,"번들, 쿠폰까지, 묶음, 키트, 16P, 묶음을, 굿즈로, 컴포넌트, 동봉, 번들로",True
Nexus,넥서스,"디자이어HD, 갤럭시폰, 프라다폰, 킨들파이어, 갤럭시W, 옵티머스Q, 기어1, 갤럭시J, EMUI, hTC",False
Nand-Flash-Memory,낸드플래시메모리,N/A,False
internet-banking,인터넷뱅킹,N/A,False
prototyping,프로토타이핑,"툴링, 시제품, 렙랩, 공정기술의, 공정개발, 개발, 구현까지, 맵핑의, 개발까지의, 코딩과",False
stack,스택,"쉘프, 어레이를, 스태킹, 스택을, 적층, 바운딩, 소팅, 스택, 배열, 룩업",True
console,콘솔,"콘솔, 콘솔이, 콘솔은, 콘솔을, PS비타, 콘솔용, 게임기어, 콘솔과, 콘솔로, 게임큐브의",True
Test-Bed,테스트베드,N/A,False
Photoshop,포토샵,"포토샵, 포토샵을, 포토샵은, Photoshop, 포토샵과, 포토샵의, 애프터이펙트, Photoshop을, Photoshop의, 포토샵이나",True
cybernetics,사이버네틱스,"인공두뇌학, 인지과학과, 공학, 뇌과학, 사이버네틱스, 복잡계, 정보학, 과학, 인지과학적, 생체공학",True
download,다운로드,"다운로드, 다운로드2, 다운로드1, 다운로드도, 다운로드3, 다운로드이, 내려받기, 다운로드만, 다운로드에는, 머리글만",True
computer,컴퓨터,"컴퓨터, 컴퓨터를, 컴퓨터의, 컴퓨터가, 컴퓨터와, 컴퓨터나, 컴퓨터에, 컴퓨터는, PC, 컴퓨터로",True
web-hosting,웹호스팅,"호스팅, 호스팅은, 웹호스팅, 서비스형, 호스팅의, 웹호스팅의, CDN, 서버관리, 제공업체의, 웹호스팅은",True
homepage,홈페이지,"바로가기-, 사이트, 홈페이지, 상단메뉴, 파비콘, 첫페이지, 다음블로그, 누리-세종학당, 메인화면, 메인페이지",True
iPad,아이패드,"아이패드, 아이폰, 아이패드용, iPad2, 아이패드나, iWork, 아이패드프로, 아이패드에서, 아이팟터치의, iPad가",True
Google-Chrome,구글-크롬,N/A,False
reverse-engineering,리버스엔지니어링,"역공학을, 기계학습과, 역설계, 툴로는, 난독화, 역공학, 공개소스, 알고리듬, 기계학습, 마이닝을",False
Star-craft,스타크래프트,N/A,False
clipboard,클립보드,"클립보드, 필기장, 클립보드에, 화이트보드, 워크시트, 파일등, 휴지통, 클립보드로, 메모장과, Ctrl키",True
mobile-card,모바일카드,N/A,False
Nokia,노키아,"노키아, HTC의, 티모바일, 모토로라와, KT테크의, Nokia는, 퀄컴과, 노키아와, Mobileye, 노키아의",True
buffer,버퍼,"기억장소, bit의, 버퍼, 메모리, 주소지정, PIO, 할당자, 익스텐트, 루틴들, 스누핑",True
network,네트워크,"네트워크, 네트워크를, 네트워크의, 네트워크가, 네트워크에, 네크워크, 네트웍, 네트워크망, 네트워크와, 네트워크에서",True
Illustrator,일러스트레이터,"일러스트레이터, 일러스트레이터가, 일러스트레이터와, Illustrator, 일러스트레이터의, 일러스트레이터인, 일러스트레이터는, 표지디자인, 웹분야, 타입페이스",True
Unix,유닉스,"윈도우즈, 유닉스, Unix의, 윈도우95, X86, 윈도우즈와, 운영체제의, 리눅스, DOS, UNIX와",True
ActiveX,액티브엑스,"플러그인이나, 플러그인과, 플러그인을, MSXML, Java용, 커맨드라인, Base64, ISAPI, HTML5는, UPnP",False
entity,엔티티,"entity, 객체, 지분증권, 엔터티, 엔티티의, 주체, 관리기구, 기관, 조직체, 레지스트라",True
Apache,아파치,"아파치, 아파치의, 롱보우, 알라모, 이클립스, PHP, 이키케, BSD, 얼랭, 윈도7에서",True
siri,시리,"siri, Siri, 시리, qq, VOIP, Siri가, 햅틱, 금어초, 컬러노트, 음성명령",True
Social-Media,소셜-미디어,"디지털마케팅, 이커머스, 소셜미디어, 소셜커뮤니케이션, 뉴미디어, 소셜미디어의, 비즈니스인사이더, O2O, 애드테크, 페이스북",False
Warcraft,워크래프트,"대전게임, 아틀란스토리, 나이트온라인, 판타지마스터즈, 원더5마스터즈, 베요네타, 베틀넷, 워페이스, 구룡쟁패, 타이니팜",False
client-server,클라이언트서버,"서버-클라이언트, 클라이언트-서버, 소프트웨어용, DCOM, 서버나, COM과, 객체지향, 클라이언트, 멀티테넌시, 클라이언트측",False
Wikileaks,위키리크스,"위키리크스, 위키리크스가, Wikileaks, 위키리크스는, 위키리크스에서, 위키리크스에, 위키리크스의, 소니픽처스, NSA의, 정보당국",True
web-site,웹사이트,"모바일사이트, 바로가기-, 사이트, www.cjcity.net, 케벤, 웹주소, 게시판서포터즈, htt, main.jsp, www.empas.com",False
i-doser,아이도저,N/A,False
file-system,파일-시스템,"ZFS, VM과, 중복제거, 파티션에서, 파일시스템은, 스냅숏, HADB, LUN, VSAM, 파일시스템",False
global-navigation-bar,글로벌내비게이션바,N/A,False
UFC,유에프씨,"WWE, wwe, TNA, 스트로급, RoH, 2vs2, UFC, RK포토, 메인이벤트에서, ESPN",False
Delphi,델파이,"델파이, Delphi, 델피, 개발도구, CDE, 레일스, IDE를, 델파이의, 테살로니키, 자이썬",True
empas,엠파스,N/A,False
iCloud,아이클라우드,"iCloud, iCloud로, iCloud에, 아이클라우드, iCloud와, iCloud를, iCloud는, iCloud의, 아이클라우드를, iOS",True
Apple-Pay,애플페이,N/A,False
notebook-computer,노트북-컴퓨터,N/A,False
Internet-FAX,인터넷팩스,N/A,False
interactive,인터랙티브,"인터랙티브한, 인터랙션과, 인터렉티브한, 몰입형, 대화형, 인터랙티브, 대화식, e-러닝, 쌍방향, interactive",True
diskette,디스켓,"삭제기, 디스켓, 디스켓의, 미니디스크, 디스켓에, 저장매체를, 디스켓으로, ROM과, 광디스크, 플로피",True
internet-marketing,인터넷마케팅,"제휴마케팅, 소셜마케팅, 광고대행, 온라인광고, 웹케시, SNS운영, 허닭, 디지털마케팅, 온라인마케팅, 바이럴마케팅",False
Paran,파란,"카비르, Arya, 다드, 신두, 쿠트, 르우벤, Brahim, 가데스, 헤르몬, 아람",False
web-server,웹서버,"웹서버의, 웹서버와, Log4j, OpenWrt, server.xml, 안티멀웨어, OpenVPN, 가상머신이, FTP, 공개용",True
cybersquatting,사이버스쿼팅,"특허분쟁, 무역사기, 민사소송, 특허괴물, 도메인이름, 소송, 반독점법, 부정경쟁, 도메인이름의, 상표권",False
