장관,파티,3.0625
내각,문화,2.844
소수,평화,1.1875
돈,은행,6.0
돈,현금,8.875
돈,현금,9.0315
돈,통화,7.9375
돈,보증금,5.375
돈,달러,7.6875
돈,세탁,4.4565
돈,작업,1.875
돈,소유,4.3125
돈,재산,5.0625
돈,재산,7.0625
돈,철수,4.0625
수도사,신탁,2.5625
수도사,노예,2.5625
월,호텔,1.0625
도덕,중요성,2.5
도덕,결혼,2.375
영화,비평가,3.1875
영화,팝콘,3.875
영화,별,4.3125
영화,극장,6.125
살인,살인,7.5
박물관,극장,3.875
음악,프로젝트,3.1875
자연,환경,6.9375
자연,남성,2.9375
회로망,하드웨어,3.8125
소식,보고서,6.8125
정오,끈,0.6875
관찰,건축학,1.875
기름,재고,2.9375
OPEC,국가,3.6875
OPEC,기름,5.5625
오페라,산업,1.194
오페라,성능,4.875
평화,대기,2.1875
평화,보험,1.7565
평화,계획,1.5
핸드폰,장비,4.0315
물리학,화학,5.0625
물리학,양성자,6.125
비행기,자동차,3.5625
행성,천문학자,5.4375
행성,별자리,4.3125
행성,은하,6.125
행성,달,6.0
행성,사람들,3.375
행성,공간,5.3125
행성,별,5.625
행성,해,5.8125
인구,개발,3.4755
가능성,소녀,1.069
관행,기관,3.5625
전례,전례,4.0
전례,인식,2.0
전례,수집,1.0625
전례,예,5.4375
전례,그룹,1.5625
전례,정보,2.375
전례,법,4.375
편견,인식,3.3125
보존,세계,2.4375
대통령,메달,1.25
문제,공항,1.3125
문제,도전,6.875
생산,승무원,3.1875
생산,인상,0.9375
교수,오이,0.3125
교수,의사,6.125
이익,손실,3.875
이익,경고,1.6875
심리학,불안,3.75
심리학,진료소,4.344
심리학,인식,4.0
심리학,우울증,5.25
심리학,규율,3.3125
심리학,의사,5.294
심리학,두려움,3.1875
심리학,프로이트,5.6875
심리학,건강,4.3625
심리학,정신,5.4375
심리학,정신과,6.9375
심리학,과학,5.9505
이유,표준,4.625
이유,고혈압,0.875
기록,숫자,3.5
등록,준비,3.4375
보고서,얻다,2.25
바위,재즈,5.5
수탉,항해,0.9375
학교,센터,3.875
해물,음식,6.875
해물,랍스터,6.9375
해물,바다,5.375
비서,상원,3.75
일곱,시리즈,2.25
지주,삼림지,1.625
샤워,홍수,3.5625
샤워,뇌우,4.0
징후,휴게,1.5065
상황,결론,3.5625
상황,격리,1.9375
크기,돌기,3.75
피부,눈,2.75
똑똑한,학생,3.625
똑똑한,멍청한,3.25
비누,오페라,3.5625
공간,화학,1.8875
공간,세계,4.9375
시작,성냥,2.5
시작,년도,1.625
재고,CD,2.4375
재고,계란,1.4375
재고,재규어,0.9375
재고,삶,1.8125
재고,살다,1.875
재고,시장,4.875
재고,핸드폰,0.75
거리,수단,7.6875
거리,차단하다,6.5625
거리,어린이들,1.294
거리,장소,4.5
뇌졸중,병원,3.625
학생,교수,4.9375
설탕,접근하다,0.9375
여름,가뭄,3.3125
여름,자연,4.0
전화,의사소통,6.6875
텔레비전,영화,5.75
텔레비전,라디오,4.625
테니스,라켓,5.0
지역,킬로미터,2.1875
지역,표면,3.594
극장,역사,1.9375
호랑이,동물,6.9375
호랑이,육식동물,6.0
호랑이,고양이,6.75
호랑이,동물상,3.4375
호랑이,고양이 같은,5.0625
호랑이,재규어,5.75
호랑이,포유 동물,6.25
호랑이,유기체,3.0625
호랑이,호랑이,10.0
호랑이,동물원,4.9375
도구,구현하다,5.3125
기차,자동차,3.5
여행하다,활동,4.1875
치료,회복,5.3125
유형,친절한,8.4375
피해자,비상,2.6875
동영상,보관소,3.4375
뷰어,연속물,2.5625
보드카,브랜디,6.25
보드카,진,6.0625
자원 봉사자,금언,1.3815
전쟁,군대,6.375
물,누출,3.875
무기,비밀,2.5
날씨,예측,5.4375
수요일,소식,1.125
목재,숲,7.9375
단어,유사성,0.8125
